event_id,session_id,step_name,event_timestamp,revenue_impact,user_id,traffic_source,campaign,session_start,region,device_type,browser
9ab269a3,4b378c82-9f1,1. View Item,2026-03-25 21:39:05,0.0,ab8632e8,Direct,None,2026-03-25 21:37:08,US-East,Desktop,Chrome
b1997f7b,fd2b5b80-1e0,1. View Item,2026-03-23 18:24:29,0.0,a12d25c9,Google-Ads,Spring-Sale,2026-03-23 18:22:39,APAC-East,Desktop,Edge
b23662cb,fd2b5b80-1e0,2. Add to Cart,2026-03-23 18:25:10,0.0,a12d25c9,Google-Ads,Spring-Sale,2026-03-23 18:22:39,APAC-East,Desktop,Edge
aab635d8,fd2b5b80-1e0,3. Enter Shipping,2026-03-23 18:26:56,0.0,a12d25c9,Google-Ads,Spring-Sale,2026-03-23 18:22:39,APAC-East,Desktop,Edge
93638564,fd2b5b80-1e0,4. Enter Payment,2026-03-23 18:28:32,0.0,a12d25c9,Google-Ads,Spring-Sale,2026-03-23 18:22:39,APAC-East,Desktop,Edge
bcd9564e,fd2b5b80-1e0,5. Purchase Complete,2026-03-23 18:29:11,67.73,a12d25c9,Google-Ads,Spring-Sale,2026-03-23 18:22:39,APAC-East,Desktop,Edge
2a0934c5,2a559c7b-4a1,1. View Item,2026-03-01 20:38:04,0.0,ed05aca5,Facebook-Ads,Retargeting-Promo,2026-03-01 20:37:05,EU-West,Desktop,Edge
9be0f06b,2a559c7b-4a1,2. Add to Cart,2026-03-01 20:39:11,0.0,ed05aca5,Facebook-Ads,Retargeting-Promo,2026-03-01 20:37:05,EU-West,Desktop,Edge
a45fcacf,2a559c7b-4a1,3. Enter Shipping,2026-03-01 20:40:43,0.0,ed05aca5,Facebook-Ads,Retargeting-Promo,2026-03-01 20:37:05,EU-West,Desktop,Edge
386f94e9,b8a7be7e-71a,1. View Item,2026-03-18 20:33:56,0.0,885ce8c2,Organic,None,2026-03-18 20:32:30,US-West,Mobile,Safari
851ff3bd,b8a7be7e-71a,2. Add to Cart,2026-03-18 20:35:11,0.0,885ce8c2,Organic,None,2026-03-18 20:32:30,US-West,Mobile,Safari
96981193,d13c0c54-e70,1. View Item,2026-03-26 07:06:33,0.0,88e5da61,Organic,None,2026-03-26 07:05:28,US-East,Desktop,Chrome
4c27727f,08b02c48-51f,1. View Item,2026-03-19 23:06:34,0.0,ea39011a,Organic,BFCM-2026,2026-03-19 23:04:40,US-East,Mobile,Safari
792c9cf7,08b02c48-51f,2. Add to Cart,2026-03-19 23:07:27,0.0,ea39011a,Organic,BFCM-2026,2026-03-19 23:04:40,US-East,Mobile,Safari
0942d4f6,82f22a97-cba,1. View Item,2026-03-01 19:16:59,0.0,f90ef2cd,Direct,Spring-Sale,2026-03-01 19:16:10,US-East,Desktop,Chrome
4bbd9044,82f22a97-cba,2. Add to Cart,2026-03-01 19:17:48,0.0,f90ef2cd,Direct,Spring-Sale,2026-03-01 19:16:10,US-East,Desktop,Chrome
f680371b,82f22a97-cba,3. Enter Shipping,2026-03-01 19:19:07,0.0,f90ef2cd,Direct,Spring-Sale,2026-03-01 19:16:10,US-East,Desktop,Chrome
b5af7294,82f22a97-cba,4. Enter Payment,2026-03-01 19:20:51,0.0,f90ef2cd,Direct,Spring-Sale,2026-03-01 19:16:10,US-East,Desktop,Chrome
3db8d896,82f22a97-cba,5. Purchase Complete,2026-03-01 19:22:23,61.81,f90ef2cd,Direct,Spring-Sale,2026-03-01 19:16:10,US-East,Desktop,Chrome
943cb720,7e6efe09-2b2,1. View Item,2026-03-03 17:56:22,0.0,09d3fcc0,Organic,Spring-Sale,2026-03-03 17:55:17,EU-West,Mobile,Chrome
ab885cf4,7e6efe09-2b2,2. Add to Cart,2026-03-03 17:56:57,0.0,09d3fcc0,Organic,Spring-Sale,2026-03-03 17:55:17,EU-West,Mobile,Chrome
c05b69e2,7e6efe09-2b2,3. Enter Shipping,2026-03-03 17:57:49,0.0,09d3fcc0,Organic,Spring-Sale,2026-03-03 17:55:17,EU-West,Mobile,Chrome
09bc2c9f,7e6efe09-2b2,4. Enter Payment,2026-03-03 17:58:39,0.0,09d3fcc0,Organic,Spring-Sale,2026-03-03 17:55:17,EU-West,Mobile,Chrome
ba0b2c8f,7e6efe09-2b2,5. Purchase Complete,2026-03-03 17:59:07,65.48,09d3fcc0,Organic,Spring-Sale,2026-03-03 17:55:17,EU-West,Mobile,Chrome
c6ef1db3,6d123d5f-d6b,1. View Item,2026-03-05 10:46:35,0.0,5cab3c34,Organic,None,2026-03-05 10:45:17,US-West,Mobile,Safari
76e0b687,6d123d5f-d6b,2. Add to Cart,2026-03-05 10:48:31,0.0,5cab3c34,Organic,None,2026-03-05 10:45:17,US-West,Mobile,Safari
e1a5d5fe,aa7c5911-eab,1. View Item,2026-03-28 02:55:08,0.0,26709535,Direct,Spring-Sale,2026-03-28 02:54:12,EU-West,Mobile,Safari
ce7bdb54,751d3486-415,1. View Item,2026-03-11 05:22:33,0.0,d9f94c06,Organic,None,2026-03-11 05:20:53,US-East,Mobile,Chrome
19176c53,923830be-f0f,1. View Item,2026-03-25 04:21:01,0.0,4718ed08,Organic,None,2026-03-25 04:19:50,APAC-East,Mobile,Chrome
f64bb28f,1d611af9-324,1. View Item,2026-03-13 23:04:15,0.0,6d718059,Facebook-Ads,Retargeting-Promo,2026-03-13 23:03:54,EU-West,Tablet,Chrome
6a9dcd14,1d611af9-324,2. Add to Cart,2026-03-13 23:05:25,0.0,6d718059,Facebook-Ads,Retargeting-Promo,2026-03-13 23:03:54,EU-West,Tablet,Chrome
f94aef58,1d611af9-324,3. Enter Shipping,2026-03-13 23:06:18,0.0,6d718059,Facebook-Ads,Retargeting-Promo,2026-03-13 23:03:54,EU-West,Tablet,Chrome
51b0d3b7,ca7a6260-09c,1. View Item,2026-03-20 05:52:56,0.0,2db0fcad,Facebook-Ads,Retargeting-Promo,2026-03-20 05:51:44,US-East,Desktop,Chrome
c05935dc,ca7a6260-09c,2. Add to Cart,2026-03-20 05:53:33,0.0,2db0fcad,Facebook-Ads,Retargeting-Promo,2026-03-20 05:51:44,US-East,Desktop,Chrome
d3132c3c,ca7a6260-09c,3. Enter Shipping,2026-03-20 05:53:57,0.0,2db0fcad,Facebook-Ads,Retargeting-Promo,2026-03-20 05:51:44,US-East,Desktop,Chrome
377bc6a8,a13297bd-b22,1. View Item,2026-03-20 13:50:14,0.0,ef82ce8f,Google-Ads,Spring-Sale,2026-03-20 13:49:24,US-East,Mobile,Safari
40b5de27,a896d16b-226,1. View Item,2026-03-27 12:06:39,0.0,b9a60d43,Direct,BFCM-2026,2026-03-27 12:05:37,US-East,Desktop,Firefox
4b260b94,a896d16b-226,2. Add to Cart,2026-03-27 12:07:59,0.0,b9a60d43,Direct,BFCM-2026,2026-03-27 12:05:37,US-East,Desktop,Firefox
0a366f6e,a896d16b-226,3. Enter Shipping,2026-03-27 12:08:16,0.0,b9a60d43,Direct,BFCM-2026,2026-03-27 12:05:37,US-East,Desktop,Firefox
9aa78676,a896d16b-226,4. Enter Payment,2026-03-27 12:09:33,0.0,b9a60d43,Direct,BFCM-2026,2026-03-27 12:05:37,US-East,Desktop,Firefox
3d7f8dec,a896d16b-226,5. Purchase Complete,2026-03-27 12:10:02,103.72,b9a60d43,Direct,BFCM-2026,2026-03-27 12:05:37,US-East,Desktop,Firefox
2fb1bfae,a0deb01b-c88,1. View Item,2026-03-13 06:37:16,0.0,4fc4d380,Organic,BFCM-2026,2026-03-13 06:36:01,US-East,Desktop,Chrome
4455c2c3,6bb2f6e0-9a1,1. View Item,2026-03-28 22:47:26,0.0,cd761a7d,Direct,Retargeting-Promo,2026-03-28 22:45:30,US-West,Desktop,Edge
12a709cc,d690f76c-525,1. View Item,2026-03-14 06:43:50,0.0,c7e1d9a6,Facebook-Ads,Retargeting-Promo,2026-03-14 06:42:26,US-West,Desktop,Chrome
